sample,sample_name,fastq_1,fastq_2,reference_assembly,metadata_1,metadata_2,metadata_3
34A,Gold_coffee,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/34A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/34A.R2.fq.gz,,Gold coffee,C. arabica,Allotetraploid
35A,Gold_coffee,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/35A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/35A.R2.fq.gz,,Gold coffee,C. arabica,Allotetraploid
36A,Gold_coffee,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/36A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/36A.R2.fq.gz,,Gold coffee,C. arabica,Allotetraploid
37A,Pink_bourbon,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/37A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/37A.R2.fq.gz,,Pink bourbon,C. arabica,Allotetraploid
38A,Pink_bourbon,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/38A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/38A.R2.fq.gz,,Pink bourbon,C. arabica,Allotetraploid
39A,Pink_bourbon,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/39A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/39A.R2.fq.gz,,Pink bourbon,C. arabica,Allotetraploid
3A,Robusta_sin_23,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/3A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/3A.R2.fq.gz,,Robusta sin 23,C. robusta,Diploid
40A,Typica,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/40A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/40A.R2.fq.gz,,Typica,C. arabica,Allotetraploid
41A,Typica,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/41A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/41A.R2.fq.gz,,Typica,C. arabica,Allotetraploid
42A,Typica,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/42A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/42A.R2.fq.gz,,Typica,C. arabica,Allotetraploid
43A,Catuai_Rojo,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/43A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/43A.R2.fq.gz,,Catuai Rojo,C. arabica,Allotetraploid
45A,Catuai_Rojo,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/45A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/45A.R2.fq.gz,,Catuai Rojo,C. arabica,Allotetraploid
46A,Catuai_Amarillo,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/46A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/46A.R2.fq.gz,,Catuai Amarillo,C. arabica,Allotetraploid
48A,Catuai_Amarillo,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/48A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/48A.R2.fq.gz,,Catuai Amarillo,C. arabica,Allotetraploid
