sample,sample_name,fastq_1,fastq_2,reference_assembly,metadata_1,metadata_2,metadata_3,metadata_4,metadata_5,metadata_6,metadata_7,metadata_8
37A,37A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/37A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/37A.R2.fq.gz
38A,38A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/38A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/38A.R2.fq.gz
39A,39A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/39A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/39A.R2.fq.gz
3A,3A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/3A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/3A.R2.fq.gz
40A,40A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/40A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/40A.R2.fq.gz
41A,41A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/41A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/41A.R2.fq.gz
42A,42A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/42A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/42A.R2.fq.gz
43A,43A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/43A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/43A.R2.fq.gz
45A,45A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/45A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/45A.R2.fq.gz
46A,46A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/46A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/46A.R2.fq.gz
48A,48A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/48A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/48A.R2.fq.gz
49A,49A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/49A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/49A.R2.fq.gz
4A,4A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/4A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/4A.R2.fq.gz
50A,50A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/50A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/50A.R2.fq.gz
51A,51A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/51A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/51A_merged.R2.fq.gz
52A,52A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/52A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/52A_merged.R2.fq.gz
53A,53A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/53A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/53A.R2.fq.gz
54A,54A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/54A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/54A.R2.fq.gz
55A,55A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/55A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/55A_merged.R2.fq.gz
56A,56A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/56A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/56A_merged.R2.fq.gz
57A,57A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/57A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/57A_merged.R2.fq.gz
58A,58A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/58A_merged.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/58A_merged.R2.fq.gz
5A,5A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/5A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/5A.R2.fq.gz
6A,6A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/6A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/6A.R2.fq.gz
7A,7A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/7A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/7A.R2.fq.gz
8A,8A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/8A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/8A.R2.fq.gz
9A,9A,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/9A.R1.fq.gz,/scratch/project/adna/Fawad/Coffee_SNVphyl/input_files/9A.R2.fq.gz
