Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,BioSampleModel,tissue,dev_stage,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Cultivar,BIOMATERIAL_PROVIDER,isolate,lat_lon,Collection_Date,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,INSDC_status,sample_name,Submitter_Id,external_id,INSDC_last_update,ENA_first_public,common_name,INSDC_first_public,INSDC_center_alias,ENA_last_update,Ecotype,collected_by,AGE,replicate,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,SEQUENCING_CENTER (run),strain,HOST,isolation_source,sample_type,scientific_name,Depth,elev,management,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),altitude,environment_(biome),environment_(feature),environment_(material),investigation_type,miscellaneous_environmental_package,project_name,Sequencing_method,biotic_relationship,ENA-LAST-UPDATE,estimated_size,num_replicons,variety,ENA-FIRST-PUBLIC,subspecies,genotype,ref_biomaterial,env_biome,Specimen_voucher,env_feature,env_material,ploidy,propagation,sub_species,collectorNo,culture-collection,host_tissue_sampled,library_preparation_date (exp),plant_developmental_stage,plant_growth_medium,plant_structure,chem_administration,culture_collection,ENA-STATUS-ID (exp),ENA-STATUS-ID (run),identified_by,lab_host,passage_history,serotype,Serovar,sex,type-material,collection_method,growth_med,host_description,Host_disease,Other_strain_designation,pathotype,plant_body_site,provider,samp_collect_device,samp_mat_process,source_material_id,specific_host,specimen_category,subgroup,subtype,Temp,trophic_level,uFORGE_Sample_ID,alias,bio_material,geographic_location_(altitude),geographical_origin,height_or_length,isolation_and_growth_condition,lat_lEn,mating_type,organism_common_name,population,samp_size,treatment
SRR6022458,WGS,PRJNA401643,SAMN07608371,TEXAS A&M UNIVERSITY,public,SRX3173323,Illumina HiSeq 2000,Dawairy Mokhtar Manakha_14CO190,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO190,SRP117161,74,97642229,67978219,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Yemen,Asia,Yemen,Dawairy Mokhtar Manakha_14CO190,Sana'a University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022459,WGS,PRJNA401643,SAMN07608663,TEXAS A&M UNIVERSITY,public,SRX3173334,Illumina HiSeq 2000,T.04517_14CO583,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO583,SRP117161,71,66408804,46057664,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Ethiopia,Africa,Ethiopia,T.04517_14CO583,CATIE,,8.05 N 36.53 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022460,WGS,PRJNA401643,SAMN07608274,TEXAS A&M UNIVERSITY,public,SRX3173337,Illumina HiSeq 2000,T.04951_14CO093,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO093,SRP117161,72,196760926,139378636,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Ethiopia,Africa,Ethiopia,T.04951_14CO093,CATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022461,WGS,PRJNA401643,SAMN07608373,TEXAS A&M UNIVERSITY,public,SRX3173322,Illumina HiSeq 2000,Wadi Albeer Asphal  Banimater_14CO192,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO192,SRP117161,69,21704884,15057887,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Yemen,Asia,Yemen,Wadi Albeer Asphal Banimater_14CO192,Sana'a University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022462,WGS,PRJNA401643,SAMN07608589,TEXAS A&M UNIVERSITY,public,SRX3173331,Illumina HiSeq 2000,T.21276_14CO500,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO500,SRP117161,71,106289478,74091306,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Ethiopia,Africa,Ethiopia,T.21276_14CO500,CATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022463,WGS,PRJNA401643,SAMN07608376,TEXAS A&M UNIVERSITY,public,SRX3173321,Illumina HiSeq 2000,Bani Fadhl Anis Odaini Gaadi_14CO195,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO195,SRP117161,67,57503610,41577046,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Yemen,Asia,Yemen,Bani Fadhl Anis Odaini Gaadi_14CO195,Sana'a University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022464,WGS,PRJNA401643,SAMN07608591,TEXAS A&M UNIVERSITY,public,SRX3173319,Illumina HiSeq 2000,T.21278_14CO502,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO502,SRP117161,71,274069285,191689047,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2017-09-08T16:08:00Z,1,Plant,Leaf,not collected,Ethiopia,Africa,Ethiopia,T.21278_14CO502,CATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022465,WGS,PRJNA401643,SAMN07608198,TEXAS A&M UNIVERSITY,public,SRX3173318,Illumina HiSeq 2000,T.04828_14CO017,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO017,SRP117161,70,64712110,45965358,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Ethiopia,Africa,Ethiopia,T.04828_14CO017,CATIE,,7.10 N 35.18 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022466,WGS,PRJNA401643,SAMN07608197,TEXAS A&M UNIVERSITY,public,SRX3173317,Illumina HiSeq 2000,T.04827_14CO016,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO016,SRP117161,71,81450962,57453108,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Ethiopia,Africa,Ethiopia,T.04827_14CO016,CATIE,,7.10 N 35.18 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6022467,WGS,PRJNA401643,SAMN07608375,TEXAS A&M UNIVERSITY,public,SRX3173320,Illumina HiSeq 2000,Bainin Alsharaf Kubary_14CO194,SINGLE,Restriction Digest,GENOMIC,Coffea arabica,ILLUMINA,2019-10-01T00:00:00Z,14CO194,SRP117161,68,75511272,53466975,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2017-09-08T16:07:00Z,1,Plant,Leaf,not collected,Yemen,Asia,Yemen,Bainin Alsharaf Kubary_14CO194,Sana'a University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
